Date,Adj Close,Close,High,Low,Open,Volume,RSI,Signal
2024-03-18,22055.69921875,22055.69921875,22123.69921875,21916.55078125,21990.099609375,356300,48.12677000714619,0
2024-03-19,21817.44921875,21817.44921875,21978.30078125,21793.099609375,21946.44921875,344200,40.14741915438595,0
2024-03-20,21839.099609375,21839.099609375,21930.900390625,21710.19921875,21843.900390625,312400,46.7187668008062,0
2024-03-21,22011.94921875,22011.94921875,22080.94921875,21941.30078125,21989.900390625,353200,50.78837157213673,0
2024-03-22,22096.75,22096.75,22180.69921875,21883.30078125,21932.19921875,388700,42.32963549920761,0
2024-03-26,22004.69921875,22004.69921875,22073.19921875,21947.55078125,21947.900390625,328400,37.4929775537636,0
2024-03-27,22123.650390625,22123.650390625,22193.599609375,22052.849609375,22053.94921875,409100,43.04422215604178,0
2024-03-28,22326.900390625,22326.900390625,22516.0,22163.599609375,22163.599609375,410500,45.81448655086937,0
2024-04-01,22462.0,22462.0,22529.94921875,22427.75,22455.0,0,49.15795114302633,0
2024-04-02,22453.30078125,22453.30078125,22497.599609375,22388.150390625,22458.80078125,289500,53.50472777695195,0
2024-04-03,22434.650390625,22434.650390625,22521.099609375,22346.5,22385.69921875,309600,52.84857562784714,0
2024-04-04,22514.650390625,22514.650390625,22619.0,22303.80078125,22592.099609375,401000,67.47810606030589,0
2024-04-05,22513.69921875,22513.69921875,22537.599609375,22427.599609375,22486.400390625,242200,63.78997852940357,0
2024-04-08,22666.30078125,22666.30078125,22697.30078125,22550.349609375,22578.349609375,227600,73.6352292292206,1
2024-04-09,22642.75,22642.75,22768.400390625,22612.25,22765.099609375,232400,71.72081272564873,1
2024-04-10,22753.80078125,22753.80078125,22775.69921875,22673.69921875,22720.25,276800,88.24477318561254,1
2024-04-12,22519.400390625,22519.400390625,22726.44921875,22503.75,22677.400390625,357200,73.67241360561971,1
2024-04-15,22272.5,22272.5,22427.44921875,22259.55078125,22339.05078125,355500,58.6220446995256,0
2024-04-16,22147.900390625,22147.900390625,22213.75,22079.44921875,22125.30078125,317300,51.64920836235354,0
2024-04-18,21995.849609375,21995.849609375,22326.5,21961.69921875,22212.349609375,456900,49.72529637798636,0
2024-04-19,22147.0,22147.0,22179.55078125,21777.650390625,21861.5,362500,50.710597924614206,0
2024-04-22,22336.400390625,22336.400390625,22375.650390625,22198.150390625,22336.900390625,279300,50.291571054859,0
2024-04-23,22368.0,22368.0,22447.55078125,22349.44921875,22447.05078125,231500,46.91925593066277,0
2024-04-24,22402.400390625,22402.400390625,22476.44921875,22384.0,22421.55078125,235900,48.359434901777604,0
2024-04-25,22570.349609375,22570.349609375,22625.94921875,22305.25,22316.900390625,475000,53.989732517141185,0
2024-04-26,22419.94921875,22419.94921875,22620.400390625,22385.55078125,22620.400390625,329900,47.326345043589505,0
2024-04-29,22643.400390625,22643.400390625,22655.80078125,22441.900390625,22475.55078125,292000,53.25309231635928,0
2024-04-30,22604.849609375,22604.849609375,22783.349609375,22568.400390625,22679.650390625,361900,48.36518646840164,0
2024-05-02,22648.19921875,22648.19921875,22710.5,22567.849609375,22567.849609375,445900,50.143456826179694,0
2024-05-03,22475.849609375,22475.849609375,22794.69921875,22348.05078125,22766.349609375,438100,42.91140791569661,0
